ТЕННИС — ОДИНОЧНЫЕ СТАВКИ ИЗ СКРИНШОТОВ
Экспрессы и события не из тенниса исключены.
Формат: дата | время | игроки | пари | ставка | коэффициент
7 июля | 23:13 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 7-й гейм: 5-е очко: П2 | 3 000 ₽ | 2.75
7 июля | 23:21 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 9-й гейм: 2-е очко: П2 | 500 ₽ | 2.80
7 июля | 23:21 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 9-й гейм: 3-е очко: П2 | 1 000 ₽ | 2.80
7 июля | 23:21 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 9-й гейм: 4-е очко: П2 | 500 ₽ | 2.80
7 июля | 23:21 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 9-й гейм: Исход первых 2 очков: П2 | 500 ₽ | 8.50
7 июля | 23:44 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет: Точный счёт: 7:5 | 165 ₽ | 10.00
7 июля | 23:44 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет: Точный счёт: 3:6 | 300 ₽ | 26.00

--- 8 ИЮЛЯ ---
8 июля | 16:23 | Костюк М. — Паолини Я. | 2-й сет, 3-й гейм: 3-е очко: П2 | 500 ₽ | 2.50
8 июля | 16:23 | Костюк М. — Паолини Я. | 2-й сет, 3-й гейм: Точное количество очков: 6 | 800 ₽ | 2.95
8 июля | 16:28 | Костюк М. — Паолини Я. | 2-й сет, 4-й гейм: 2-е очко: П1 | 500 ₽ | 2.05
8 июля | 16:28 | Костюк М. — Паолини Я. | 2-й сет, 4-й гейм: 4-е очко: П1 | 500 ₽ | 2.05
8 июля | 16:46 | Носкова Л. — Мертенс Э. | 2-й сет, 9-й гейм: 10-е очко: П1 | 500 ₽ | 2.30
8 июля | 16:47 | Костюк М. — Паолини Я. | 2-й сет: Точный счёт: 6:4 | 500 ₽ | 13.50
8 июля | 16:51 | Носкова Л. — Мертенс Э. | 2-й сет, 10-й гейм: Исход первых 2 очков: П2 | 575 ₽ | 7.75
8 июля | 16:55 | Носкова Л. — Мертенс Э. | 2-й сет, 11-й гейм: Точное количество очков: 7+ | 3 000 ₽ | 3.35
8 июля | 16:55 | Носкова Л. — Мертенс Э. | 2-й сет, 11-й гейм: Точный счёт: П1:30 | 1 500 ₽ | 9.00
8 июля | 16:58 | Носкова Л. — Мертенс Э. | 2-й сет, 12-й гейм: 3-е очко: П2 | 4 384 ₽ | 2.65
8 июля | 17:06 | Питер К. / Шишкова А. — Дабровски Г. / Стефани Л. | 1-й сет, 3-й гейм: Точный счёт: П1:15 | 900 ₽ | 25.00
8 июля | 17:21 | Питер К. / Шишкова А. — Дабровски Г. / Стефани Л. | 1-й сет, 7-й гейм: Точное количество очков: 7+ | 1 000 ₽ | 4.20
8 июля | 17:21 | Питер К. / Шишкова А. — Дабровски Г. / Стефани Л. | 1-й сет: Точный счёт: 4:6 | 1 000 ₽ | 24.00
8 июля | 17:29 | Коболли Ф. — Фери А. | 1-й сет, 4-й гейм: Точный счёт: 15:П2 | 500 ₽ | 24.00
8 июля | 17:31 | Питер К. / Шишкова А. — Дабровски Г. / Стефани Л. | 2-й сет, 2-й гейм: Исход первых 2 очков: П1 | 1 000 ₽ | 8.50
8 июля | 17:37 | Коболли Ф. — Фери А. | 1-й сет, 6-й гейм: Исход первых 2 очков: П2 | 1 500 ₽ | 8.00
8 июля | 17:37 | Коболли Ф. — Фери А. | 1-й сет, 6-й гейм: Исход первых 2 очков: П2 | 500 ₽ | 8.00
8 июля | 17:38 | Фриц Т. — Зверев А. | 1-й сет, 2-й гейм: Точный счёт: П1:15 | 500 ₽ | 40.00
8 июля | 17:38 | Фриц Т. — Зверев А. | 1-й сет, 2-й гейм: Точный счёт: П1:30 | 500 ₽ | 21.00
8 июля | 17:42 | Коболли Ф. — Фери А. | 1-й сет, 7-й гейм: 4-е очко: П1 | 2 000 ₽ | 2.50
8 июля | 17:42 | Фриц Т. — Зверев А. | 1-й сет, 3-й гейм: Точный счёт: 15:П2 | 1 000 ₽ | 34.00
8 июля | 17:46 | Коболли Ф. — Фери А. | 1-й сет, 8-й гейм: Исход первых 2 очков: П2 | 500 ₽ | 8.25
8 июля | 17:48 | Коболли Ф. — Фери А. | 1-й сет, 9-й гейм: Исход первых 2 очков: П1 | 500 ₽ | 6.75
8 июля | 17:53 | Фриц Т. — Зверев А. | 1-й сет, 6-й гейм: 4-е очко: П1 | 1 000 ₽ | 3.00
8 июля | 18:02 | Фриц Т. — Зверев А. | 1-й сет, 9-й гейм: Точный счёт: 15:П2 | 500 ₽ | 40.00
8 июля | 18:02 | Фриц Т. — Зверев А. | 1-й сет, 9-й гейм: Точный счёт: 30:П2 | 500 ₽ | 21.00
8 июля | 18:02 | Фриц Т. — Зверев А. | 1-й сет, 9-й гейм: Точное количество очков: 7+ | 1 800 ₽ | 5.10
8 июля | 18:09 | Фриц Т. — Зверев А. | 1-й сет: Точный счёт: 5:7 | 500 ₽ | 70.00
8 июля | 18:09 | Фриц Т. — Зверев А. | 1-й сет: Точный счёт: 5:7 | 500 ₽ | 100.00
8 июля | 18:18 | Коболли Ф. — Фери А. | 2-й сет, 6-й гейм: Точный счёт: 15:П2 | 500 ₽ | 22.00
8 июля | 18:18 | Коболли Ф. — Фери А. | 2-й сет, 6-й гейм: Точный счёт: 30:П2 | 500 ₽ | 14.00
8 июля | 18:18 | Коболли Ф. — Фери А. | 2-й сет, 6-й гейм: Точный счёт: 40:П2 | 500 ₽ | 17.50
8 июля | 18:18 | Коболли Ф. — Фери А. | 2-й сет, 6-й гейм: Исход первых 2 очков: П2 | 500 ₽ | 7.75
8 июля | 18:19 | Фриц Т. — Зверев А. | 2-й сет, 2-й гейм: Точный счёт: П1:15 | 500 ₽ | 35.00
8 июля | 18:19 | Фриц Т. — Зверев А. | 2-й сет, 2-й гейм: Точный счёт: П1:30 | 500 ₽ | 21.00
8 июля | 18:19 | Фриц Т. — Зверев А. | 2-й сет, 2-й гейм: Точный счёт: П1:40 | 500 ₽ | 30.00
8 июля | 18:25 | Коболли Ф. — Фери А. | 2-й сет, 8-й гейм: 4-е очко: П2 | 500 ₽ | 2.65
8 июля | 18:34 | Коболли Ф. — Фери А. | 2-й сет, 10-й гейм: Исход первых 2 очков: П2 | 500 ₽ | 7.75
8 июля | 18:34 | Коболли Ф. — Фери А. | 2-й сет, 10-й гейм: Точный счёт: 15:П2 | 500 ₽ | 22.00
8 июля | 18:34 | Коболли Ф. — Фери А. | 2-й сет, 10-й гейм: Точный счёт: 30:П2 | 500 ₽ | 13.50
8 июля | 18:34 | Коболли Ф. — Фери А. | 2-й сет, 10-й гейм: Точный счёт: 40:П2 | 500 ₽ | 16.50
8 июля | 18:43 | Коболли Ф. — Фери А. | 2-й сет, 12-й гейм: Точный счёт: 15:П2 | 650 ₽ | 22.00
8 июля | 18:43 | Коболли Ф. — Фери А. | 2-й сет, 12-й гейм: Точный счёт: 30:П2 | 650 ₽ | 13.50
8 июля | 18:43 | Коболли Ф. — Фери А. | 2-й сет, 12-й гейм: Точный счёт: 40:П2 | 700 ₽ | 16.50
8 июля | 18:51 | Коболли Ф. — Фери А. | 2-й сет: Точный счёт: 4:6 | 500 ₽ | 12.00
8 июля | 18:53 | Фриц Т. — Зверев А. | 2-й сет, 10-й гейм: Точное количество очков: 7+ | 1 000 ₽ | 5.70
8 июля | 18:53 | Фриц Т. — Зверев А. | 2-й сет, 10-й гейм: Точный счёт: П1:15 | 1 000 ₽ | 50.00
8 июля | 18:53 | Фриц Т. — Зверев А. | 2-й сет, 10-й гейм: Точный счёт: П1:30 | 1 000 ₽ | 26.00
8 июля | 18:53 | Фриц Т. — Зверев А. | 2-й сет, 10-й гейм: Точный счёт: П1:40 | 1 000 ₽ | 40.00
8 июля | 18:53 | Фриц Т. — Зверев А. | 2-й сет: Точный счёт: 6:4 | 1 000 ₽ | 14.00
8 июля | 19:01 | Коболли Ф. — Фери А. | 3-й сет, 1-й гейм: 2-е очко: П2 | 500 ₽ | 2.60
8 июля | 19:01 | Коболли Ф. — Фери А. | 3-й сет, 1-й гейм: 3-е очко: П2 | 500 ₽ | 2.60
8 июля | 19:05 | Фриц Т. — Зверев А. | 3-й сет, 2-й гейм: Точный счёт: П1:15 | 1 000 ₽ | 50.00
8 июля | 19:05 | Фриц Т. — Зверев А. | 3-й сет, 2-й гейм: Точный счёт: П1:30 | 1 000 ₽ | 27.00
8 июля | 19:05 | Фриц Т. — Зверев А. | 3-й сет, 2-й гейм: Точный счёт: П1:40 | 1 000 ₽ | 40.00
8 июля | 19:09 | Коболли Ф. — Фери А. | 3-й сет, 2-й гейм: Исход первых 2 очков: П1 | 500 ₽ | 6.75
8 июля | 20:40 | Волынец К. — Арсено А. | 2-й сет, 5-й гейм: Исход первых 2 очков: П2 | 500 ₽ | 6.25
8 июля | 20:40 | Волынец К. — Арсено А. | 2-й сет, 5-й гейм: Точный счёт: 15:П2 | 500 ₽ | 15.50
8 июля | 20:40 | Волынец К. — Арсено А. | 2-й сет, 5-й гейм: Точный счёт: 40:П2 | 500 ₽ | 11.00
8 июля | 20:46 | Чоински Я. — Реберг М. Х. | 3-й сет, 7-й гейм: Точный счёт: 15:П2 | 1 000 ₽ | 28.00
8 июля | 20:46 | Чоински Я. — Реберг М. Х. | 3-й сет, 7-й гейм: Точный счёт: 30:П2 | 1 000 ₽ | 16.50
8 июля | 20:46 | Чоински Я. — Реберг М. Х. | 3-й сет, 7-й гейм: Точный счёт: 40:П2 | 1 000 ₽ | 21.00
8 июля | 21:02 | Чоински Я. — Реберг М. Х. | 3-й сет, 9-й гейм: Точный счёт: 15:П2 | 500 ₽ | 26.00
8 июля | 21:02 | Чоински Я. — Реберг М. Х. | 3-й сет, 9-й гейм: Точный счёт: 30:П2 | 500 ₽ | 15.50
8 июля | 21:02 | Чоински Я. — Реберг М. Х. | 3-й сет, 9-й гейм: Точный счёт: 40:П2 | 500 ₽ | 20.00
8 июля | 21:08 | Чоински Я. — Реберг М. Х. | 3-й сет, 10-й гейм: Точный счёт: П1:15 | 500 ₽ | 16.50
8 июля | 21:08 | Чоински Я. — Реберг М. Х. | 3-й сет, 10-й гейм: Точный счёт: П1:30 | 200 ₽ | 11.00
8 июля | 22:42 | Маннарино А. — Бертола Р. | 2-й сет: Точный счёт после 6 геймов: 6:0 | 300 ₽ | 8.00

--- 9 ИЮЛЯ ---
9 июля | 23:38 | Брантмайер Р. — Мандлик Э. | 3-й сет, 5-й гейм: Точный счёт: 15:П2 | 250 ₽ | 13.00
9 июля | 23:38 | Брантмайер Р. — Мандлик Э. | 3-й сет, 5-й гейм: Точный счёт: 40:П2 | 250 ₽ | 9.00
9 июля | 23:38 | Брантмайер Р. — Мандлик Э. | 3-й сет, 5-й гейм: Исход первых 2 очков: П2 | 250 ₽ | 5.20

--- 10 ИЮЛЯ ---
10 июля | 00:01 | Казанова Э. — Амброджи Л. Е. | 1-й сет, 6-й гейм: Точный счёт: 30:П2 | 250 ₽ | 8.50
10 июля | 00:01 | Казанова Э. — Амброджи Л. Е. | 1-й сет, 6-й гейм: Точный счёт: 40:П2 | 500 ₽ | 9.00
10 июля | 00:08 | Казанова Э. — Амброджи Л. Е. | 1-й сет, 8-й гейм: Исход первых 2 очков: П2 | 500 ₽ | 5.40
10 июля | 00:08 | Казанова Э. — Амброджи Л. Е. | 1-й сет, 8-й гейм: Точный счёт: 15:П2 | 250 ₽ | 11.50
10 июля | 00:08 | Казанова Э. — Амброджи Л. Е. | 1-й сет, 8-й гейм: Точный счёт: 30:П2 | 250 ₽ | 8.00
10 июля | 00:08 | Казанова Э. — Амброджи Л. Е. | 1-й сет, 8-й гейм: Точный счёт: 40:П2 | 250 ₽ | 8.50
10 июля | 00:46 | Джонс Г. — Бланч Дар. | 1-й сет, 5-й гейм: Точный счёт: П1:15 | 300 ₽ | 35.00
10 июля | 00:46 | Джонс Г. — Бланч Дар. | 1-й сет, 5-й гейм: Точный счёт: П1:30 | 300 ₽ | 20.00
10 июля | 00:46 | Джонс Г. — Бланч Дар. | 1-й сет, 5-й гейм: Точный счёт: П1:40 | 300 ₽ | 28.00
10 июля | 01:09 | Джонс Г. — Бланч Дар. | 1-й сет, 10-й гейм: Точный счёт: 15:П2 | 500 ₽ | 17.00
10 июля | 01:09 | Джонс Г. — Бланч Дар. | 1-й сет, 10-й гейм: Точный счёт: 30:П2 | 500 ₽ | 11.00
10 июля | 01:09 | Джонс Г. — Бланч Дар. | 1-й сет, 10-й гейм: Точный счёт: 40:П2 | 500 ₽ | 12.00
10 июля | 01:22 | Фирнли Дж. — Козлов С. | 1-й сет, 4-й гейм: Точный счёт: 30:П2 | 500 ₽ | 13.00
10 июля | 01:22 | Фирнли Дж. — Козлов С. | 1-й сет, 4-й гейм: Точный счёт: 40:П2 | 500 ₽ | 16.00
10 июля | 01:27 | Фирнли Дж. — Козлов С. | 1-й сет, 5-й гейм: Точный счёт: П1:15 | 500 ₽ | 9.25
10 июля | 01:27 | Фирнли Дж. — Козлов С. | 1-й сет, 5-й гейм: Точный счёт: П1:30 | 1 000 ₽ | 6.75
10 июля | 01:27 | Фирнли Дж. — Козлов С. | 1-й сет, 5-й гейм: Точный счёт: П1:40 | 500 ₽ | 7.00
10 июля | 01:33 | Фирнли Дж. — Козлов С. | 1-й сет, 6-й гейм: Точный счёт: 15:П2 | 1 000 ₽ | 22.00
10 июля | 01:33 | Фирнли Дж. — Козлов С. | 1-й сет, 6-й гейм: Точный счёт: 30:П2 | 1 000 ₽ | 13.50
10 июля | 01:44 | Фирнли Дж. — Козлов С. | 1-й сет, 8-й гейм: Точный счёт: 15:П2 | 1 000 ₽ | 16.50
10 июля | 01:44 | Фирнли Дж. — Козлов С. | 1-й сет, 8-й гейм: Точный счёт: 40:П2 | 1 000 ₽ | 12.00
10 июля | 02:56 | Драксль Л. — Арсено Н. | 1-й сет: Исход: П2 | 350 ₽ | 8.88
10 июля | 22:52 | Бернет Г. — Бондиоли Ф. | 2-й сет, 11-й гейм: Точный счёт: 15:П2 | 250 ₽ | 12.50
10 июля | 22:52 | Бернет Г. — Бондиоли Ф. | 2-й сет, 11-й гейм: Точный счёт: 30:П2 | 250 ₽ | 8.50
10 июля | 22:52 | Бернет Г. — Бондиоли Ф. | 2-й сет, 11-й гейм: Точный счёт: 40:П2 | 250 ₽ | 9.25

--- 11 ИЮЛЯ ---
11 июля | 01:22 | Бланч Дар. — Фирнли Дж. | 2-й сет, 2-й гейм: Точный счёт: 15:П2 | 500 ₽ | 12.50
11 июля | 01:22 | Бланч Дар. — Фирнли Дж. | 2-й сет, 2-й гейм: Точный счёт: 30:П2 | 500 ₽ | 8.00
11 июля | 01:22 | Бланч Дар. — Фирнли Дж. | 2-й сет, 2-й гейм: Точный счёт: 40:П2 | 500 ₽ | 8.50
11 июля | 01:22 | Бланч Дар. — Фирнли Дж. | 2-й сет, 2-й гейм: Исход первых 2 очков: П2 | 500 ₽ | 5.20
11 июля | 01:40 | Бланч Дар. — Фирнли Дж. | 2-й сет, 7-й гейм: Исход первых 2 очков: П1 | 400 ₽ | 7.00

--- 16 ИЮЛЯ ---
16 июля | 15:30 | Карле М. Л. — Палицова Б. | 2-й сет, 6-й гейм: Точный счёт: 15:П2 | 300 ₽ | 8.75
16 июля | 15:30 | Карле М. Л. — Палицова Б. | 2-й сет, 6-й гейм: Точный счёт: 30:П2 | 300 ₽ | 6.50
16 июля | 15:30 | Карле М. Л. — Палицова Б. | 2-й сет, 6-й гейм: Точный счёт: 40:П2 | 200 ₽ | 6.50
16 июля | 16:30 | Рублёв А. — Пеллегрино А. | 2-й сет, 5-й гейм: Точный счёт: П1:15 | 300 ₽ | 15.00
16 июля | 16:30 | Рублёв А. — Пеллегрино А. | 2-й сет, 5-й гейм: Точный счёт: П1:30 | 350 ₽ | 9.75
16 июля | 16:30 | Рублёв А. — Пеллегрино А. | 2-й сет, 5-й гейм: Точный счёт: П1:40 | 350 ₽ | 11.00
16 июля | 16:45 | Рублёв А. — Пеллегрино А. | 2-й сет, 9-й гейм: Точный счёт: П1:15 | 300 ₽ | 16.50
16 июля | 16:45 | Рублёв А. — Пеллегрино А. | 2-й сет, 9-й гейм: Точный счёт: П1:30 | 350 ₽ | 10.50
16 июля | 16:45 | Рублёв А. — Пеллегрино А. | 2-й сет, 9-й гейм: Точный счёт: П1:40 | 350 ₽ | 12.00

Всего одиночных теннисных ставок: 137
